K_Tr_AB_nCi_3_M25(M8)_SS7_T_KA_a-e-v_MID,N3_TrB_AB_nCi_3_M26(M11)_MP2_T_LGA[0.0-1.0]_r-p_MID,P2_B_AB_nCi_2_NS3_H_T_LGP[2-4]_c-h_MAS,SD_B_AB_Ci(2.0;-2.0)_2_MP7_H_n_X_LGP[4-6]_e-p_MAS,GV[5]_K_Tr_AB_nCi_3_M22(M1)_NS1_T_KA_m-a-c_MID,AC[5]_K_TrC_AB_nCi_3_M21(M1)_NS4_C_KA_m_MID,AC[3]_N2_Tr_AB_nCi_3_M20(M13)_MP2_C_KA_r-p-c_MID,N3_B_AB_nCi_2_SS8_C_LGP[1]_r-c_MAS,Q2_B_AB_nCi_2_SS1_T_LGP[1;2;6]_c-p_MAS,GV[6]_N2_Tr_AB_nCi_3_M20(M13)_MP4_T_LG3L[1-2]_LGL[1-2]_v-p-c_MID,MX_B_AB_nCi_2_SS6_T_LGP[1;2;6]_r-c_MAS,pIC50
3.07087375,0.416037344,1.486290322,0.031857046,7.154237226,32.70633086,0.004353051,0.036990493,0.014985357,0.002457501,0.414569635,4.634131105
2.002330048,0.37825055,1.478640127,0.029995282,4.086736971,37.62985879,0.003016104,0.038769206,0.018575102,0.002220377,0.414565601,5.400311827
4.922613584,0.37487379,0.928516293,0.017687624,17.80197174,45,6.77E-04,0.006031401,0.005656718,0.004986479,0.285733268,4.338009943
0.530297363,0.411259441,0.911951109,0.016514913,29.92836642,40.12334587,7.45E-04,-0.010932313,0.001864591,0.012314178,0.25858957,4.875129127
-0.281007644,0.32787218,0.999031776,0.02089085,6.07932929,42.99999815,0.001835851,-0.021776767,0.054865665,0.072449262,0.258570868,4.908552883
-0.535697851,0.33412211,0.97063209,0.02281876,4.328034397,40.10166352,0.001760339,-0.023825097,0.063901228,0.033277945,0.195149307,4.253414448
-0.117457858,0.329889028,0.98216716,0.021607032,36.21422968,42,0.001865597,-0.021440401,0.049224826,0.070417607,0.180924362,5.209582878
2.711786796,0.28774274,0.995398664,0.020186501,43.77173691,44,0.001025052,-0.02176174,0.056004159,0.026729363,0.218688707,4.486948956
2.270974063,0.298438904,1.010371916,0.021987191,4.518710841,45.66649758,0.0014057,-0.020696538,0.034700452,0.055113338,0.2856508,4.762424847
-0.454024574,0.4374827,1.149711714,0.02133952,9.656719264,42.99178018,1.15E-04,0.015536565,0.032913068,0.003418321,0.3452401,5.829371637
-0.397752043,0.462364143,1.164517023,0.018932337,8.645574462,40.96101094,7.50E-04,-0.01828872,0.131299491,0.014682458,0.230114667,4.966048777
4.848503573,0.380463637,0.909253654,0.016029985,25.74722945,45,5.99E-04,-0.011429924,0.011582405,0.006625424,0.221036804,4.507152342
-0.204093632,0.436725263,0.863004054,0.018882539,12.57169738,31.31805205,5.95E-04,-0.02334222,0.002074018,0.0041562,0.180634094,3.996862724
-0.030342268,0.267016289,0.995496858,0.017298871,15.72029837,52,9.19E-04,-0.020020323,0.057562631,0.019552495,0.18092057,4.189221596
5.473598706,0.366237272,0.912514127,0.015640478,42.48013828,43,5.23E-04,-0.01088875,0.011581722,0.009099657,0.218711896,4.242034902
2.551454886,0.468324382,0.918574787,0.014928795,8.171363913,38.76563531,2.21E-04,-0.024311023,0.020620803,0.002209448,0.221207107,4.036979947
0.473823887,0.454932693,1.06563726,0.01497599,4.506489372,37.42261775,5.23E-04,0.013953403,0.001849359,1.33E-05,0.230135091,5.102372909
-0.599338341,0.336336716,0.807953897,0.015193887,32.36997369,57.99999992,5.30E-04,-0.015378737,0.001698196,2.63E-04,0.142216918,3.8881916
-0.122550069,0.326313377,0.984284097,0.023896714,7.331103529,42.99997363,0.001726097,-0.020426014,0.063900954,0.054646998,0.229559167,5.607522887
1.017367,0.364315444,0.905007509,0.019832469,10.36765712,41.96572365,7.94E-04,0.008199786,0.001865672,0.011243533,0.229540577,5.352250382
-0.435504951,0.308022516,1.110821411,0.016915352,2.40564422,34.81659297,0.001610718,0.042823036,0.099979493,0.00249059,0.212447089,5.846552398
-0.524974498,0.320122667,1.019186818,0.017380963,2.065587807,26.11611524,0.001588826,0.040992211,0.093582356,0.001594598,0.304498481,5.698161391
-0.441455281,0.309736811,1.045692845,0.017350132,2.016025992,24.91169297,0.00154758,0.04089045,0.093550725,0.001211331,0.212443097,7.038255409
-0.392542333,0.309847477,1.065087979,0.017125523,17.93011095,36.73291049,0.001545006,0.040756154,0.095886023,0.006878575,0.212442955,6.222079118
-0.456436385,0.391613147,1.004756665,0.014470464,2.241947494,19.25099554,8.59E-04,0.040727578,0.09357664,0.001975025,0.212275119,6.194375587
-0.33714794,0.326208641,1.025988993,0.016233055,8.348535574,37.72976694,0.001429042,0.040751596,0.093562216,0.006299188,0.254565933,5.431115892
-0.362651845,0.331912522,1.014045801,0.016211971,8.513067918,37.72902121,0.001452462,0.040749884,0.093567444,0.007614609,0.260372943,5.491519253
-0.490878254,0.30478251,1.05876186,0.017065509,21.55455268,38.99988498,0.00147183,0.040868855,0.093572804,0.00365083,0.212354818,6.184724202
-0.505202722,0.298677027,1.081592106,0.018019716,2.104286241,26.22509924,0.001497601,0.041243865,0.0935534,0.001490476,0.308240642,5.889701141
-0.997080002,0.50487292,1.079837899,0.016424092,7.447602173,3.265949146,1.13E-04,-0.016585929,0.013457383,0.00181161,0.28745595,5.692198444
-0.959517323,0.476253184,1.067922761,0.017295499,5.047283565,2.857148816,1.05E-04,-0.016586126,0.026116244,0.001608491,0.288073359,5.485072951
-0.999297405,0.429376965,1.113698303,0.016609555,7.231948142,6.128235125,1.23E-04,-0.0219075,0.038483195,0.002742435,0.284524035,5.607026834
-0.979626299,0.426701978,1.118645453,0.015666559,6.805158301,5.333790077,1.29E-04,-0.021907407,0.063287719,0.005976374,0.286071119,5.409651854
3.705528576,0.307248534,1.34994402,0.026821555,23.35315135,9.330733918,0.0090422,-0.026200516,-0.002899873,0.025423396,0.470700408,6.966576245
3.680763963,0.296522155,1.326217931,0.025214971,12.98371524,10.02405972,0.007939811,-0.023001131,0.012921954,0.02459186,0.470700598,6.943095149
3.633045934,0.300136214,1.296424478,0.025415796,17.34900919,38.99999996,0.007939354,-0.02558056,-0.01133114,0.022824415,0.470700408,7.086186148
